order,MI rectangle,uncond_p,cond_p,t_v=12,t_v=13,t_v=15,t_v=16,t_v=17,t_v=18,t_v=19,t_v=20,t_v=21,t_v=22,t_v=23
1,"(5,7] × (23, ∞)",0.0437,0.066525,1,1,1,1,1,1,1,1,1,1,1
2,"(8,9] × (23, ∞)",0.0235,0.035774,1,1,1,1,1,1,1,1,1,1,1
3,"(9,10] × (23, ∞)",0.0639,0.097275,1,1,1,1,1,1,1,1,1,1,1
4,"(10,11] × (23, ∞)",0.1649,0.251028,1,1,1,1,1,1,1,1,1,1,1
5,"(11,12] × (23, ∞)",0.0379,0.057695,0,1,1,1,1,1,1,1,1,1,1
6,"(12,13] × (23, ∞)",0.1682,0.256051,0,0,1,1,1,1,1,1,1,1,1
7,"(14,15] × (23, ∞)",0.1548,0.235652,0,0,0,1,1,1,1,1,1,1,1
