run,U8,VarU8
1,-4.204217524119798,1.611086633571965
2,-4.218818463086935,1.6002308246312051
3,-4.274893025291066,1.5664181692940833
4,-3.475714799774271,2.2174848918596615
5,-3.7884809817204363,1.9490269757697158
6,-4.185075297074075,1.6256839614767333
7,-4.254444390845471,1.578883472570054
8,-3.828543126312198,1.926880280767122
9,-3.86570614962429,1.902467181218983
10,-3.484054168930731,2.2106828037953354
11,-3.800403535150796,1.9436222011997824
12,-4.261052306235227,1.5739449160612395
13,-3.4658699229759016,2.2208899768889188
14,-4.2568879971928695,1.576174067648736
15,-3.8033824294989307,1.9435612505808808
16,-4.213829859242118,1.6078706734612567
17,-3.0867976877002903,2.512241942298955
18,-3.4618538587188734,2.22423266491008
19,-4.225905938908522,1.5983879821583988
20,-3.1324087629447925,2.4901714531462886
21,-4.21069133110359,1.6090499113409815
22,-3.821817255508475,1.9301107196377427
23,-3.1088608822540547,2.504385205305769
24,-3.785042210222792,1.9515477600866964
25,-3.870870984789125,1.8999575849544417
26,-3.8394126915295894,1.917861692235301
27,-3.8552713965956116,1.9095386964723766
28,-4.204217524119798,1.611086633571965
29,-4.182061499724398,1.6273355681703912
30,-3.814868161366456,1.932815518131091
31,-3.4693121325632745,2.2195872351321664
32,-3.4625341308277173,2.2223552980336243
33,-3.7423586743391626,1.9802932031122897
34,-3.5146072906035357,2.1920728090794643
35,-3.1579459781305372,2.4761105967415027
36,-3.4275215789434528,2.2395547910803395
37,-3.8458131852794812,1.9152887939151935
38,-3.807899520251474,1.938776498597043
39,-3.800119167868,1.943757800187985
40,-3.852523187114934,1.9108116828036898
41,-3.4804849731364715,2.211628819404506
42,-3.478309815137827,2.2168551815072317
43,-3.118356239974955,2.4964443579903426
44,-3.86128337403857,1.9075506065605756
45,-3.4113014391694936,2.251238584105879
46,-3.056436798963615,2.5309681332854
47,-4.207607567477657,1.610758838579318
48,-3.8074438220355695,1.9369222396190084
49,-3.076646287072699,2.5228955625378573
50,-4.228019511610331,1.5957352338122608
51,-3.7967298930717153,1.9446304569934336
52,-3.4072011668603377,2.2529547806137877
53,-3.817155424986608,1.930949696468309
54,-3.8388004466316303,1.9193775745065766
55,-3.870586617506329,1.9000931839426443
56,-4.207924065262528,1.6106175691267788
57,-3.8459925748700368,1.9152311746820736
58,-3.793203592748471,1.947643822065427
59,-3.855654410618829,1.9098168126199484
60,-4.204410636531366,1.6134890394109014
61,-4.22288783025661,1.6009779687580772
62,-3.4433523793487213,2.2328883480016746
63,-3.874492715171419,1.8969523503273633
64,-4.210891275639414,1.6104530520283697
65,-3.3944115800815737,2.2606565625166684
66,-3.3988617977038773,2.259756868678114
67,-3.828543126312198,1.926880280767122
68,-3.4507427476077623,2.2298499488606973
69,-3.4502381383471565,2.2306572969413567
70,-3.8406327444740596,1.9166507676577174
71,-3.868280143077093,1.901168588571378
72,-4.160141015862299,1.637748991417319
73,-3.8319854671039364,1.9239326653731634
74,-4.213015573460018,1.6052797471499551
75,-3.8040773821178897,1.9418515825342895
76,-3.828315115001529,1.9288912746627003
77,-3.8657611644711576,1.9006475764838433
78,-3.139426470873399,2.4857020464225226
79,-4.228365143235234,1.5970136709943774
80,-3.8217404052237622,1.9314385666665157
81,-3.4513311027529765,2.2279334758875957
82,-4.200203127663542,1.612597618013515
83,-4.201344595491117,1.6145500715004202
84,-3.86128337403857,1.9075506065605756
85,-3.419280162573749,2.2462837119918
86,-3.0468599935359117,2.5378500933195154
87,-3.828543126312198,1.926880280767122
88,-4.201344595491117,1.6136702056651973
89,-3.8426321945733397,1.9168418451875087
90,-4.219051678133191,1.6035492611145
91,-3.8985817611612044,1.880778813358
92,-3.8305727919333874,1.9207279709153426
93,-3.098918899821502,2.506658838534033
94,-4.161928394266857,1.6403690788904637
95,-4.2431844941231684,1.586509766464578
96,-3.8179040880882127,1.934602792436886
97,-3.1137595541690626,2.5003002910654812
98,-4.210632928295826,1.6106008742928402
99,-3.438282221228536,2.2383525807502136
100,-4.256160695876012,1.5802335513743255
mean,-3.7864359966108667,1.9566428187263485
